A,B,C,D,E,F
34,44.44,15,84.18,-23.6721,-48.5349
33,43.3,25,134.2,-15.429,-9.27068
34,44.49,7,44.21,50.559,42.424
6,15.98,5,34.01,58.9123,25.0068
26,36.04,14,79.34,16.3492,14.7209
8,18.53,34,179.4,-34.3123,-52.8362
25,36.39,18,99.39,-13.523,-3.62346
19,29.49,24,129.15,-56.624,-27.6174
3,13.2,24,129.25,11.0255,38.4505
29,39.03,36,189.4,53.5904,12.3723
11,21.2,34,179.54,-53.1408,-61.1314
22,32.41,6,39.17,13.391,22.2863
12,22.22,29,154.54,22.5774,4.3886
28,38.23,21,114.29,44.8318,49.7907
1,11.45,0,9.27,28.1206,86.5461
28,38.51,31,164.32,67.0854,50.5524
39,49.03,6,39.34,52.71,39.7198
2,12.27,30,159.08,-92.0949,-12.9431
9,19.04,32,168.99,19.4059,4.83843
16,26.3,27,144.45,-35.9226,-77.0361
35,45.53,37,194.55,-18.3558,-45.432
20,30.39,19,104.55,30.5928,94.1546
31,41.18,27,143.98,-13.1452,-24.7225
6,16.5,14,79.55,70.9521,27.2359
29,39.49,32,169.25,7.38794,9.45612
11,21.44,3,24.25,-53.1444,-31.9323
21,31.07,8,49.29,-30.2055,-6.97348
1,11.49,9,54.45,-27.2001,-22.0262
7,17.28,27,144.19,30.7178,76.029
28,38,27,144.29,69.8613,17.4184
20,30,39,204.52,75.8243,33.7591
22,32.21,39,204.47,7.96956,0.697245
38,48.06,32,169.17,-89.0114,-18.9199
34,44.14,1,14.5,-46.7287,-39.21
17,27.16,18,99.53,11.9543,1.04587
16,26.01,5,34.24,11.4025,37.2959
36,46.5,24,129.44,2.62424,3.01884
8,18.31,33,174.17,-5.70634,-1.8541
10,19.97,20,109.28,-4.16795,-4.31604
26,36.2,30,159.33,-0.945519,-0.325568
27,37.04,10,59.41,51.1961,78.835
5,14.99,15,84.38,-82.2191,-36.6063
26,36.55,14,79.36,40.1504,57.3406
22,32.17,21,114.31,53.3514,63.5816
5,15.38,18,99.05,89.5275,39.8602
34,44.54,17,94.22,22.8511,56.5582
19,29.35,18,99.11,-33.5468,-21.7855
34,44.23,38,198.97,74.3763,19.9291
12,22.49,13,74.5,39.4297,23.6917
20,30.01,30,159.47,-93.5395,-21.5953
20,30.15,5,34.46,-24.3593,-5.62377
24,34.51,37,194.39,-42.4411,-40.9848
22,32.44,7,43.97,5.44002,4.40524
13,23.28,16,89.23,54.637,65.1137
22,32.54,11,64.09,-25.7115,-30.6418
32,41.97,13,74.46,65.5304,47.6106
28,38.22,7,44.14,5.84745,19.1261
18,28.19,35,184.02,52.0035,17.9062
1,11.45,6,39.47,51.3571,16.6869
5,15.05,20,109.13,-45.3985,-12.1645
23,33.34,32,169.53,81.7533,29.7557
29,39.04,11,64.34,-35.8028,-3.76302
37,47.11,25,134.5,35.346,16.4821
7,17.17,28,149.42,-35.9297,-12.3716
28,38.56,15,84.38,9.02724,11.9795
33,43.27,25,134.43,-57.6766,-19.8596
23,33.05,11,64.11,31.3778,19.607
37,47.52,21,114.12,65.683,17.5997
35,45.44,13,74.53,-85.0988,-18.0883
22,32.18,7,44.34,51.058,17.5807
17,27.05,5,34.12,20.2058,16.3623
39,49.26,32,169.28,32.0762,16.3436
38,48.1,17,94.37,78.7846,13.8918
12,22.33,24,129.34,2.97258,2.67652
5,15.03,31,164.49,-15.0351,-5.47232
6,16.18,13,74.4,-25.8626,-35.5967
7,17.53,9,54.49,-76.1151,-27.7036
34,44.14,30,159.08,48.5231,6.81948
28,38.19,19,104.29,-31.4966,-37.5362
2,12.25,1,14.5,29.6699,11.9874
10,20.08,19,104.13,54.9927,49.5156
35,45.39,35,184.53,72.6404,14.1199
13,23.05,24,129.13,77.7998,13.7182
39,49.36,39,204.47,45.1479,101.404
5,15.02,11,64.35,6.45064,16.8044
36,46.18,35,185.04,74.7128,18.628
34,44.21,23,124.39,6.10314,11.4783
28,38.35,37,194.41,6.78735,12.2447
10,20.02,7,44.46,33.809,32.6489
12,22.29,24,129.01,32.7822,39.0682
